element,name,pos,club,gw_points,played,price,multiplier,rival_avg_mult,my_mult,net
426,B.Fernandes,MID,MUN,2,True,12.0,19,0.9047619047619048,0.0,-0.9047619047619048
4,Gabriel,DEF,ARS,5,True,8.0,9,0.42857142857142855,0.0,-0.42857142857142855
427,Mbeumo,MID,MUN,2,True,8.0,9,0.42857142857142855,0.0,-0.42857142857142855
557,Tzolis,MID,ARS,6,True,6.5,9,0.42857142857142855,0.0,-0.42857142857142855
379,Isak,FWD,LIV,2,True,9.0,8,0.38095238095238093,0.0,-0.38095238095238093
346,Calvert-Lewin,FWD,LEE,1,True,6.0,8,0.38095238095238093,0.0,-0.38095238095238093
423,Shaw,DEF,MUN,1,True,4.5,7,0.3333333333333333,0.0,-0.3333333333333333
366,Wirtz,MID,LIV,2,True,7.5,7,0.3333333333333333,0.0,-0.3333333333333333
496,Kinsky,GKP,TOT,2,True,4.5,6,0.2857142857142857,0.0,-0.2857142857142857
418,Maguire,DEF,MUN,1,True,5.0,6,0.2857142857142857,0.0,-0.2857142857142857
109,Verbruggen,GKP,BHA,6,True,4.5,5,0.23809523809523808,0.0,-0.23809523809523808
397,Semenyo,MID,MCI,2,True,8.5,5,0.23809523809523808,0.0,-0.23809523809523808
387,O'Reilly,DEF,MCI,2,True,6.5,4,0.19047619047619047,0.0,-0.19047619047619047
15,Ødegaard,MID,ARS,11,True,6.5,4,0.19047619047619047,0.0,-0.19047619047619047
40,Rogers,MID,CHE,0,False,7.5,4,0.19047619047619047,0.0,-0.19047619047619047
94,Schade,MID,BRE,3,True,6.0,3,0.14285714285714285,0.0,-0.14285714285714285
358,Kerkez,DEF,LIV,0,True,5.5,3,0.14285714285714285,0.0,-0.14285714285714285
140,Sánchez,GKP,CHE,0,False,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
154,Palmer,MID,CHE,0,False,9.5,2,0.09523809523809523,0.0,-0.09523809523809523
259,Diop,DEF,IPS,2,True,4.0,2,0.09523809523809523,0.0,-0.09523809523809523
469,N.Williams,DEF,NFO,2,True,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
305,Davis,DEF,IPS,2,True,4.0,2,0.09523809523809523,0.0,-0.09523809523809523
201,Muñoz,DEF,CRY,0,True,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
10,White,DEF,ARS,11,True,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
388,Guéhi,DEF,MCI,10,True,6.0,2,0.09523809523809523,0.0,-0.09523809523809523
552,Brobbey,FWD,SUN,2,True,6.0,2,0.09523809523809523,0.0,-0.09523809523809523
82,Kelleher,GKP,BRE,7,True,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
480,Gibbs-White,MID,NFO,2,True,8.0,2,0.09523809523809523,0.0,-0.09523809523809523
544,Xhaka,MID,SUN,9,True,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
87,Ajer,DEF,BRE,8,True,4.5,2,0.09523809523809523,0.0,-0.09523809523809523
306,Greaves,DEF,IPS,2,True,4.0,1,0.047619047619047616,0.0,-0.047619047619047616
412,Lammens,GKP,MUN,1,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
329,Rodon,DEF,LEE,6,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
399,Cherki,MID,MCI,8,True,7.5,1,0.047619047619047616,0.0,-0.047619047619047616
334,Muharemović,DEF,LEE,6,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
260,Wilson,MID,LEE,3,True,6.5,1,0.047619047619047616,0.0,-0.047619047619047616
339,Longstaff,MID,LEE,1,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
357,Frimpong,DEF,LIV,0,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
249,Barry,FWD,EVE,8,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
232,O'Brien,DEF,EVE,0,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
230,Branthwaite,DEF,EVE,6,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
428,Cunha,MID,MUN,2,True,8.0,1,0.047619047619047616,0.0,-0.047619047619047616
594,David,FWD,BHA,0,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
200,Lacroix,DEF,CHE,0,False,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
11,Mosquera,DEF,ARS,6,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
12,Saka,MID,ARS,9,True,9.5,1,0.047619047619047616,0.0,-0.047619047619047616
13,Rice,MID,ARS,3,True,7.5,1,0.047619047619047616,0.0,-0.047619047619047616
31,Konsa,DEF,ARS,0,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
32,Cash,DEF,AVL,-1,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
55,Watkins,FWD,AVL,0,True,8.0,1,0.047619047619047616,0.0,-0.047619047619047616
61,Truffert,DEF,BOU,1,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
95,O.Dango,MID,BRE,3,True,6.5,1,0.047619047619047616,0.0,-0.047619047619047616
539,O'Nien,DEF,SUN,1,True,4.0,1,0.047619047619047616,0.0,-0.047619047619047616
534,Hume,DEF,SUN,2,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
532,Ballard,DEF,SUN,0,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
208,Sarr,MID,CRY,0,True,6.5,1,0.047619047619047616,0.0,-0.047619047619047616
371,Gravenberch,MID,LIV,5,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
115,De Cuyper,DEF,BHA,17,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
498,Senesi,DEF,TOT,3,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
125,Georginio,FWD,BHA,5,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
127,Gomez,MID,BHA,6,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
149,Colwill,DEF,CHE,0,False,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
155,Enzo,MID,CHE,0,False,7.0,1,0.047619047619047616,0.0,-0.047619047619047616
176,Dasilva,DEF,COV,1,True,4.0,1,0.047619047619047616,0.0,-0.047619047619047616
499,Pedro Porro,DEF,TOT,0,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
497,Dubravka,GKP,TOT,0,True,4.0,0,0.0,0.0,0.0
442,Pope,GKP,NEW,0,True,5.0,0,0.0,0.0,0.0
489,Yates,MID,NFO,0,True,4.5,0,0.0,0.0,0.0
466,Neave,FWD,NEW,0,True,4.5,0,0.0,0.0,0.0
483,Ndoye,MID,NFO,3,True,5.5,0,0.0,0.0,0.0
564,Scherpen,GKP,IPS,2,True,4.5,0,0.0,0.0,0.0
529,Roefs,GKP,SUN,1,True,5.0,0,0.0,0.0,0.0
270,Reed,MID,FUL,0,False,4.5,0,0.0,0.0,0.0
175,van Ewijk,DEF,COV,1,True,4.0,0,0.0,0.0,0.0
113,F.Kadıoğlu,DEF,BHA,0,True,4.5,0,0.0,0.0,0.0
107,Furo,FWD,BRE,0,True,4.5,0,0.0,0.0,0.0
171,Dovin,GKP,COV,0,True,4.0,0,0.0,0.0,0.0
173,Thomas,DEF,COV,3,True,4.0,0,0.0,0.0,0.0
102,Yarmoliuk,MID,BRE,1,True,5.0,0,0.0,0.0,0.0
212,Hughes,MID,CRY,0,True,4.5,0,0.0,0.0,0.0
70,Kluivert,MID,BOU,3,True,6.0,0,0.0,0.0,0.0
58,Forster,GKP,BOU,0,True,4.0,0,0.0,0.0,0.0
250,Leno,GKP,FUL,0,False,4.5,0,0.0,0.0,0.0
112,Van Hecke,DEF,TOT,1,True,5.0,0,0.0,0.0,0.0
261,Iwobi,MID,FUL,0,False,5.5,0,0.0,0.0,0.0
272,Kusi-Asare,FWD,FUL,0,False,4.5,0,0.0,0.0,0.0
273,Phillips,GKP,HUL,0,True,4.0,0,0.0,0.0,0.0
280,Coyle,DEF,HUL,6,True,4.0,0,0.0,0.0,0.0
289,Crooks,MID,HUL,2,True,4.5,0,0.0,0.0,0.0
290,Slater,MID,HUL,6,True,4.5,0,0.0,0.0,0.0
301,Palmer,GKP,IPS,0,True,4.0,0,0.0,0.0,0.0
304,O'Shea,DEF,IPS,4,True,4.0,0,0.0,0.0,0.0
321,Walle Egeli,FWD,IPS,1,True,4.5,0,0.0,0.0,0.0
580,Charles,MID,FUL,0,False,5.0,0,0.0,0.0,0.0
111,Steele,GKP,BHA,0,True,4.0,0,0.0,0.0,0.0
165,João Pedro,FWD,CHE,0,False,7.5,14,0.6666666666666666,1.0,0.33333333333333337
8,Calafiori,DEF,ARS,9,True,5.5,12,0.5714285714285714,1.0,0.4285714285714286
1,Raya,GKP,ARS,6,True,6.0,8,0.38095238095238093,1.0,0.6190476190476191
411,Haaland,FWD,MCI,2,True,15.5,29,1.380952380952381,2.0,0.6190476190476191
368,Szoboszlai,MID,LIV,8,True,7.0,6,0.2857142857142857,1.0,0.7142857142857143
124,Groß,MID,BHA,2,True,5.5,6,0.2857142857142857,1.0,0.7142857142857143
356,Virgil,DEF,LIV,2,True,6.5,4,0.19047619047619047,1.0,0.8095238095238095
237,Ndiaye,MID,EVE,9,True,6.0,3,0.14285714285714285,1.0,0.8571428571428572
106,Thiago,FWD,BRE,0,True,8.0,2,0.09523809523809523,1.0,0.9047619047619048
542,E.Le Fée,MID,SUN,2,True,6.0,2,0.09523809523809523,1.0,0.9047619047619048
229,Tarkowski,DEF,EVE,6,True,6.0,1,0.047619047619047616,1.0,0.9523809523809523
