element,name,pos,club,gw_points,played,price,multiplier,rival_avg_mult,my_mult,net
426,B.Fernandes,MID,MUN,0,False,12.0,22,1.0476190476190477,0.0,-1.0476190476190477
557,Tzolis,MID,ARS,0,False,6.5,11,0.5238095238095238,0.0,-0.5238095238095238
4,Gabriel,DEF,ARS,0,False,8.0,10,0.47619047619047616,0.0,-0.47619047619047616
427,Mbeumo,MID,MUN,0,False,8.0,9,0.42857142857142855,0.0,-0.42857142857142855
346,Calvert-Lewin,FWD,LEE,0,False,6.0,8,0.38095238095238093,0.0,-0.38095238095238093
379,Isak,FWD,LIV,8,True,9.0,8,0.38095238095238093,0.0,-0.38095238095238093
423,Shaw,DEF,MUN,0,False,4.5,8,0.38095238095238093,0.0,-0.38095238095238093
366,Wirtz,MID,LIV,4,True,7.5,6,0.2857142857142857,0.0,-0.2857142857142857
418,Maguire,DEF,MUN,0,False,5.0,6,0.2857142857142857,0.0,-0.2857142857142857
496,Kinsky,GKP,TOT,1,True,4.5,5,0.23809523809523808,0.0,-0.23809523809523808
109,Verbruggen,GKP,BHA,0,False,4.5,4,0.19047619047619047,0.0,-0.19047619047619047
397,Semenyo,MID,MCI,5,True,8.5,4,0.19047619047619047,0.0,-0.19047619047619047
15,Ødegaard,MID,ARS,0,False,6.5,4,0.19047619047619047,0.0,-0.19047619047619047
387,O'Reilly,DEF,MCI,2,True,6.5,4,0.19047619047619047,0.0,-0.19047619047619047
94,Schade,MID,BRE,0,False,6.0,3,0.14285714285714285,0.0,-0.14285714285714285
124,Groß,MID,BHA,0,False,5.5,3,0.14285714285714285,0.0,-0.14285714285714285
40,Rogers,MID,CHE,0,False,7.5,3,0.14285714285714285,0.0,-0.14285714285714285
399,Cherki,MID,MCI,14,True,7.5,2,0.09523809523809523,0.0,-0.09523809523809523
412,Lammens,GKP,MUN,0,False,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
388,Guéhi,DEF,MCI,2,True,6.0,2,0.09523809523809523,0.0,-0.09523809523809523
334,Muharemović,DEF,LEE,0,False,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
154,Palmer,MID,CHE,0,False,9.5,2,0.09523809523809523,0.0,-0.09523809523809523
358,Kerkez,DEF,LIV,1,True,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
544,Xhaka,MID,SUN,0,False,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
87,Ajer,DEF,BRE,0,False,4.5,2,0.09523809523809523,0.0,-0.09523809523809523
10,White,DEF,ARS,0,False,5.5,2,0.09523809523809523,0.0,-0.09523809523809523
552,Brobbey,FWD,SUN,0,False,6.0,2,0.09523809523809523,0.0,-0.09523809523809523
82,Kelleher,GKP,BRE,0,False,5.0,2,0.09523809523809523,0.0,-0.09523809523809523
534,Hume,DEF,SUN,0,False,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
260,Wilson,MID,LEE,0,False,6.5,1,0.047619047619047616,0.0,-0.047619047619047616
261,Iwobi,MID,FUL,0,False,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
79,Evanilson,FWD,BOU,5,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
70,Kluivert,MID,BOU,3,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
61,Truffert,DEF,BOU,4,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
55,Watkins,FWD,AVL,0,False,8.0,1,0.047619047619047616,0.0,-0.047619047619047616
31,Konsa,DEF,ARS,0,False,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
428,Cunha,MID,MUN,0,False,8.0,1,0.047619047619047616,0.0,-0.047619047619047616
13,Rice,MID,ARS,0,False,7.5,1,0.047619047619047616,0.0,-0.047619047619047616
385,Trafford,GKP,LEE,0,False,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
12,Saka,MID,ARS,0,False,9.5,1,0.047619047619047616,0.0,-0.047619047619047616
371,Gravenberch,MID,LIV,1,True,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
11,Mosquera,DEF,ARS,0,False,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
339,Longstaff,MID,LEE,0,False,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
565,M.Sangaré,MID,BRE,0,False,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
391,Gvardiol,DEF,MCI,5,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
249,Barry,FWD,EVE,2,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
230,Branthwaite,DEF,EVE,4,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
449,Hall,DEF,NEW,11,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
112,Van Hecke,DEF,TOT,1,True,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
204,Mitchell,DEF,CRY,0,True,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
201,Muñoz,DEF,CRY,0,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
200,Lacroix,DEF,CHE,0,False,6.0,1,0.047619047619047616,0.0,-0.047619047619047616
176,Dasilva,DEF,COV,2,True,4.0,1,0.047619047619047616,0.0,-0.047619047619047616
480,Gibbs-White,MID,NFO,13,True,8.0,1,0.047619047619047616,0.0,-0.047619047619047616
173,Thomas,DEF,COV,8,True,4.0,1,0.047619047619047616,0.0,-0.047619047619047616
115,De Cuyper,DEF,BHA,0,False,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
357,Frimpong,DEF,LIV,1,True,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
125,Georginio,FWD,BHA,0,False,5.5,1,0.047619047619047616,0.0,-0.047619047619047616
88,Kayode,DEF,BRE,0,False,4.5,1,0.047619047619047616,0.0,-0.047619047619047616
140,Sánchez,GKP,CHE,0,False,5.0,1,0.047619047619047616,0.0,-0.047619047619047616
442,Pope,GKP,NEW,0,True,5.0,0,0.0,0.0,0.0
532,Ballard,DEF,SUN,0,False,5.0,0,0.0,0.0,0.0
529,Roefs,GKP,SUN,0,False,5.0,0,0.0,0.0,0.0
564,Scherpen,GKP,IPS,0,False,4.5,0,0.0,0.0,0.0
